Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,56.91558321,56.03751276,55.39545551,55.28312722,55.74922195,56.96671038,58.16978848,58.93819217,59.81098435,61.71929518,63.29512536,64.15060372,64.11383546,63.37469468,62.52345703,61.99458128,62.42726399,64.63694802,65.75333617,64.83765796,63.71377,61.85469014,59.13698094,56.22600796
2,53.86599964,52.31083357,51.61438652,51.64392883,52.55041669,54.85744773,57.84546145,59.89863404,60.90526125,62.28721885,63.22581921,63.23936918,62.7260926,62.10875011,61.43209712,61.04967983,61.24069098,63.11750141,63.75413492,62.70128266,61.36382883,59.43881738,56.87018217,54.02332345
3,51.49580423,50.15418574,49.25693352,48.82726482,49.23312493,50.50040718,52.35999763,54.17202437,55.62019297,57.07467208,56.86442958,55.66438263,53.8921403,51.39630337,49.095839,47.53811453,46.970677,49.41792114,53.69119125,54.59520016,54.96950602,54.66853815,53.53602695,51.86381857
4,50.33257441,49.65525371,49.43805433,49.75997492,50.65873764,52.49277035,55.23930618,57.66981353,59.0916916,59.36857223,58.62759957,57.3524847,55.88119108,54.28386691,52.79600782,51.91894777,52.49125192,56.72048905,61.41143273,63.73834197,64.35189344,63.71756801,61.59636367,59.29441361
5,58.0282906,57.81781141,58.37671516,59.58809761,62.0564266,66.83749864,72.80151575,75.07775117,73.54296911,71.28700085,68.26009912,64.91484769,61.34788321,58.53047082,56.16712393,54.8195051,55.13139428,58.67915071,64.28216688,65.76806838,65.83475238,64.18994295,60.85558495,57.44074498
6,55.45287814,54.59045848,54.53570052,55.16375485,56.99746732,61.53245694,67.83313702,69.09174672,66.04766983,62.18126502,58.7969908,55.70726369,53.00702178,51.15664319,49.41241432,48.5005037,48.72887281,51.36522974,55.6618562,56.34803277,56.41038118,55.26857658,52.46954343,49.68266391
7,48.15412613,47.70818086,47.97758063,48.81746498,50.92201051,55.51252865,62.23232831,64.32315942,62.78284132,61.79089103,61.15154703,60.24064594,59.22305329,58.68817777,58.34088523,58.77288387,60.74367248,65.75980515,71.48320233,73.09375287,73.8154115,72.85132055,69.9321691,67.03265449
8,65.65905907,65.45433442,65.91658104,66.93925232,69.13884757,73.68420638,80.15278337,81.65350417,78.89345586,76.69131346,74.45318163,71.92278788,69.21194319,67.13168561,65.19201286,64.73867352,65.96292321,69.74275641,73.8011874,74.10159526,73.41258631,70.92332392,66.65554007,62.78952311
9,60.45217263,59.21317487,58.73956894,59.01932203,60.42114426,64.03390334,69.745384,71.82836957,71.13918597,71.4693471,71.79755708,71.54512438,70.70707589,70.18355264,69.86996235,70.08413348,71.32381248,73.62011127,75.34846507,74.34211802,73.23595475,71.08626868,68.18110222,65.36239894
10,63.11517695,61.90540057,61.32418395,61.44127382,61.98281474,63.34775893,65.44974224,67.59794914,69.38406047,71.26817532,71.90560033,71.54682427,70.33809541,69.09218982,68.24935841,68.07747744,68.5017663,70.57551318,72.20481455,71.6202936,70.48902759,68.58893814,65.83208825,63.06781378
11,60.72784381,59.42628525,58.51547598,58.14889293,58.33339179,59.16563952,60.87512126,62.49768656,63.95399569,64.92984972,64.44025472,63.28524268,61.64540949,59.7491914,57.70968232,56.67668699,56.52374801,58.31556887,61.23425423,61.5661097,60.84351788,58.95382927,55.56904402,52.32066609
12,50.23437451,49.38790341,49.32179151,50.01842229,52.18497901,56.82377966,63.37100087,65.60494918,64.17649857,63.51833116,63.34223805,62.75650438,62.0316126,61.77395828,61.54953255,61.97797532,63.54145467,66.78394128,69.56955796,69.44518576,68.49457952,66.23874329,62.40467795,58.93326317
13,56.77657858,55.90895199,55.74418311,56.31503577,58.31945818,62.70823968,68.9607866,71.09018814,69.85404466,69.62977572,69.51016922,68.57003006,67.39600884,66.23708931,65.09797722,64.86806076,65.97196121,68.80664554,71.65898902,71.28844381,70.27755996,67.29996145,63.02906334,59.04049486
14,56.66539412,55.60286471,55.31251302,55.83460935,57.54014201,61.81632112,68.07716175,69.91028241,68.27952955,67.88730129,67.69590324,66.88353436,65.8745468,65.30505536,64.76757115,65.00644918,66.27666698,69.17609309,71.47891541,71.02056114,69.9454592,67.21958537,62.82012601,58.85557515
15,56.5704425,55.58373701,55.13831012,55.55164764,57.19423377,61.62605009,68.12047287,69.99800898,67.63917254,65.42307453,62.97829406,60.21544591,57.45774013,55.30581901,53.27039478,52.18932952,52.41044039,54.92140389,59.69911652,61.09321469,61.65019224,60.6996244,58.12831715,55.32324239
16,54.03749204,53.94336985,54.35337631,55.44065664,57.68013494,62.50017267,69.04454026,71.0325285,68.12265551,64.2184865,60.33864508,56.80364801,53.46811229,51.36817343,49.68690829,48.64483424,48.36140393,49.81460738,53.75766179,54.46956458,54.65689544,54.13492395,52.5048639,50.3705917
17,48.68536318,47.96317969,47.79568743,48.16941454,49.21917941,51.45982215,54.39407305,56.81042288,57.28559946,55.63726294,53.2579702,50.56422031,48.08963157,46.06637159,44.83399916,44.02042044,43.92430155,45.09775953,48.4289859,48.74894239,48.4611101,47.86893867,46.34050167,44.69283813
18,43.54442867,43.0039826,42.96223687,43.48215293,44.55292173,46.52875008,49.23700145,51.69909794,52.78724849,51.64145775,49.30640826,47.10185114,45.51796997,44.31531193,43.40235181,42.87540402,42.82965537,44.24699741,48.42803963,49.23717967,49.08758544,48.33941956,46.58114868,44.60026147
19,43.31106226,42.87310404,43.0979315,44.00040599,45.93501893,49.94260275,54.85736862,57.45154333,56.89733586,55.02731602,53.14331707,51.15456619,49.50285848,48.53985712,47.95395879,47.57926098,47.52492169,48.39275047,51.76699948,52.19729368,51.42880403,49.47430323,46.18960245,43.03949199
20,41.2697824,40.52548378,40.74257619,41.37950427,43.27140097,47.75155398,54.67978697,56.97911444,54.73796097,52.69911967,51.17636179,49.80737291,48.86092843,48.42126445,48.20024943,48.13306212,48.18969272,48.89479433,51.86015268,52.09424206,51.29502198,49.34843559,45.92150765,42.53765738
21,40.34099073,39.48382948,39.3183553,39.75703569,41.33826733,45.47084211,51.90658652,54.22095324,53.13090506,52.53025163,52.04265772,51.2653431,50.55989034,50.12837429,49.73816991,49.80246217,50.83321361,53.24529724,55.63930612,55.55778093,54.52456738,52.26214408,48.60804471,45.11149658
22,42.90166148,42.04771566,41.7440516,42.19498012,43.6591468,47.52283819,53.94317482,57.11125765,57.21564667,58.17906646,59.33830024,59.99598821,60.43074178,60.80342869,60.55663355,60.99746183,62.38835033,64.79739929,67.13773251,66.85728794,65.6590084,62.92588635,58.88671932,55.23751246
23,53.06078094,51.89701359,51.42560903,51.75544349,53.33681186,57.41845383,63.46287149,65.59217123,64.66434539,64.10948585,63.21378848,61.99903515,60.66320324,59.47397492,58.08049013,57.11878498,57.20910007,58.84980948,62.42034129,62.80709623,62.64929973,61.72041411,59.7860858,57.60464367
24,56.09542634,55.31535423,55.23603262,55.61462546,56.71683895,58.94639266,61.95338501,64.25135327,64.22715293,62.23956239,59.04468703,55.29424606,51.84525152,48.804813,46.71340972,45.5296984,45.18583487,46.66666408,50.88335657,51.96970131,52.18726045,51.89084283,50.61045206,48.92064957
25,47.67299134,47.01843691,46.86958474,47.13626294,47.96680475,49.58893888,51.62738747,53.4432842,53.89893274,52.48673991,50.17084712,48.03676302,46.41407154,45.11383278,44.06518951,43.5963668,43.783025,45.48333361,49.93156112,51.22824303,51.15232496,50.0374553,47.74904888,45.15805148
26,43.6699495,43.29550141,43.75582706,44.84405494,47.25255311,52.4078975,59.67281212,61.63411002,58.97218523,56.21122484,53.6886242,51.55118652,49.89248732,48.79796214,47.85046856,47.21194374,47.19158999,48.18210313,51.837212,52.49118586,51.92822562,50.04818307,46.67244159,43.40666983
27,41.48370611,40.69891103,40.82631779,41.49526913,43.40198304,47.89904619,54.76624574,56.55178528,54.08572258,51.86530923,50.3511438,49.23826381,48.5103643,48.55856472,48.5999277,48.74012324,48.92491427,49.02780964,51.4274859,51.60179019,50.53686068,48.27197234,44.64942872,41.18428948
28,39.09264348,38.22415596,38.06407513,38.65636743,40.3346271,44.6477503,51.3380056,53.33611807,51.56345028,50.06151556,49.26082985,48.87999454,48.59183331,48.82130601,48.90171824,48.68133204,48.90573063,48.93433185,51.24519379,51.48461269,50.36113581,48.23442432,44.59990747,40.99715628
29,38.54621066,37.36286081,36.93269876,36.88487488,38.18800557,41.75455005,47.78480132,49.79044742,48.84354618,48.71819873,48.86860227,48.77105456,48.69514171,48.8343519,48.8683201,48.9436911,49.00846051,49.4230761,52.1231092,52.321223,51.48416162,49.42149958,46.11169135,42.58760123
30,40.38422051,39.37232922,39.07766101,39.41437468,40.89819861,44.87872941,51.43423166,54.03534038,53.50671688,53.24897913,52.49667229,51.18837991,49.80742735,49.02458587,48.159156,47.53102384,47.62936895,48.82512045,51.91201471,52.0719586,51.52888266,50.1239027,48.05295822,45.5276518
31,43.58212076,42.47487917,41.93137473,41.80876581,42.30162703,43.81633777,46.13372317,48.45381664,50.65805263,52.32277105,52.58974763,51.91030951,50.8151004,49.70426349,48.95302819,48.7977539,48.90572904,50.10565982,51.89088863,51.38855147,50.31099769,48.75281716,46.42696143,43.83625202
32,41.49017465,39.80882759,38.70755213,38.11013676,38.03352573,38.55976488,39.8907456,41.33417563,43.02181397,44.80205848,46.06556938,46.66263871,47.05659794,47.0957998,46.97650759,47.01234436,47.33852888,47.94190978,50.48647208,51.28264244,51.44992759,51.74245682,50.55694339,48.22267808
33,47.14370865,47.14486022,47.86537652,49.29331069,52.01183189,57.39692967,65.40560781,68.40299611,67.14306363,65.60347005,63.83988815,61.78218591,59.20127658,56.9592779,55.00665143,54.09373283,54.81666808,57.96865521,63.23510688,64.42073281,64.07159731,61.93899112,58.12474933,54.65434848
