Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,13.05303333,17.78533333,22.90233333,33.90133333,46.66293333,54.62613333,63.21153333,75.63333333,86.46546667,94.32923333,97.10566667,99.37466667,96.71446667,87.89026667,57.02073333,39.85893333,39.11973333,20.79533333,15.49773333,12.56313333,10.72773333,9.816933333,10.72773333,12.42513333
2,14.38473333,14.79183333,16.99413333,21.69833333,25.15843333,29.61293333,33.53893333,36.18143333,38.75013333,54.64293333,74.16603333,89.99093333,94.226,94.10646667,81.05853333,60.71913333,56.77953333,53.06373333,21.28553333,10.32063333,8.837133333,9.554733333,9.961833333,6.458
3,3.04,2.44,2.922666667,3.264,3.24,2.552,2.384,2.32,2.072,1.250666667,1.12,1.248,2.066666667,2.338666667,2.194666667,2.776,3.384,2.664,3.010666667,4.866666667,6.196666667,7.181333333,13.33593333,24.46383333
4,35.78883333,50.03973333,70.20633333,75.57303333,86.10013333,80.2548,80.51053333,77.1312,69.44253333,61.54323333,68.96013333,69.10083333,80.21826667,58.08603333,81.844,75.39213333,49.67013333,38.85093333,65.54313333,48.94773333,47.28453333,74.97003333,83.30533333,90.79466667
5,89.88133333,94.9595,99.44,100,100,100,100,100,99.424,96.0027,99.17576667,98.79543333,95.58433333,92.34733333,95.09533333,97.05676667,96.22003333,82.08146667,63.49293333,49.38453333,46.25973333,52.07253333,69.58323333,88.38346667
6,87.324,87.72586667,93.05973333,95.86143333,80.2,96.22546667,94.56286667,79.94426667,81.49693333,87.30573333,97.8935,99.96333333,100,100,100,100,100,99.886,99.79133333,100,100,100,100,99.71933333
7,100,100,100,99.86666667,72.61833333,41.48853333,67.47273333,41.42133333,33.14633333,28.67673333,8.768133333,0.3744,0.4592,0.4496,7.321333333,14.31573333,15.45473333,6.215333333,6.061333333,4.064,4.614666667,2.549333333,3.527333333,9.575433333
8,20.33093333,25.30943333,65.32203333,96.68186667,60.92013333,85.27813333,56.81973333,48.56133333,70.36713333,67.29183333,48.19173333,33.50873333,35.12443333,27.96703333,61.50303333,80.5288,51.73653333,54.54213333,41.99253333,29.52233333,22.78193333,19.54833333,17.47573333,18.90333333
9,42.74853333,44.21013333,32.24033333,18.41313333,13.99143333,13.05993333,14.26053333,12.08013333,7.764666667,3.574,2.768,4.129333333,7.032,9.920433333,12.33543333,14.39853333,10.12743333,12.30783333,16.70173333,18.44753333,12.12153333,7.260666667,10.61043333,21.73273333
10,29.56763333,28.32943333,31.03233333,48.59493333,38.81733333,53.06373333,49.31733333,43.47093333,36.58913333,22.39493333,17.87133333,16.01373333,16.24593333,19.32473333,19.21293333,18.87753333,17.15753333,10.21023333,8.423133333,7.904666667,7.895333333,9.092433333,11.02443333,10.11363333
11,12.08703333,13.74303333,17.08013333,21.63813333,33.05573333,43.63893333,61.02063333,91.5436,99.116,99.664,100,100,100,100,100,99.39533333,83.67066667,24.61483333,7.228,5.926,10.36203333,18.56793333,23.42693333,64.53813333
12,91.74453333,94.4379,99.56066667,99.98133333,100,100,100,100,100,100,100,97.68703333,89.42466667,99.966,99.74,94.9269,57.54333333,28.37473333,15.43753333,10.23783333,5.482666667,1.76,1.016,0.3472
13,0,0.7264,5.062666667,10.48623333,24.79603333,72.87963333,99.95733333,100,100,100,100,100,100,100,100,100,100,100,99.86066667,99.85466667,96.82313333,81.5152,95.5137,99.26813333
14,99.59333333,96.82856667,100,100,100,100,100,100,100,100,100,99.71133333,99.51933333,96.07333333,51.92133333,20.45993333,8.837133333,2.866666667,1.448,3.384,13.20483333,18.44753333,16.89093333,19.85793333
15,15.08493333,11.44533333,5.818666667,5.748666667,22.48093333,76.29093333,95.45393333,95.99183333,93.9489,72.85953333,34.98853333,21.53493333,17.66493333,13.11513333,16.00513333,13.07373333,19.52253333,17.02853333,15.01263333,5.548,3.269333333,2.032,0.7456,2.528
16,2.344,3.386666667,19.70313333,19.61713333,19.71173333,52.79493333,82.08146667,93.42506667,77.00333333,66.28683333,56.19663333,47.21733333,52.49253333,38.38603333,17.78533333,9.154533333,3.402666667,16.27173333,22.35193333,19.47953333,19.47953333,30.54913333,42.07653333,34.24863333
17,64.92003333,44.74773333,19.50533333,12.68043333,6.752,4.297333333,3.536666667,3.485333333,4.367333333,8.540433333,6.551333333,7.256,11.10723333,19.16133333,31.59103333,33.67483333,48.00693333,58.86993333,63.69393333,68.05563333,64.53813333,85.09546667,86.81253333,97.36646667
18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.742,97.4208,90.64853333,93.99236667,97.96413333,89.4064,78.04453333,57.86493333,45.50373333
19,60.09603333,52.61013333,25.74733333,16.77053333,10.78293333,5.468666667,7.816,7.064666667,10.32753333,22.93673333,53.97093333,87.47013333,98.42053333,100,99.48866667,98.79,98.79,99.354,96.37216667,99.362,99.652,99.30616667,99.2301,96.61666667
20,99.384,100,100,100,100,99.78,97.5023,99.594,99.72666667,100,99.93133333,100,99.86466667,100,100,100,99.758,100,100,100,100,100,100,100
21,100,100,99.60933333,98.71393333,99.52733333,99.41466667,99.432,99.56333333,99.46533333,99.36733333,98.77913333,98.68133333,85.4608,53.48373333,34.53553333,22.34333333,6.696,4.264666667,2.194666667,1.314666667,1.736,3.258666667,6.658666667,10.32753333
22,16.93393333,19.25593333,23.00553333,31.37963333,52.87893333,78.15413333,99.48866667,100,100,100,100,99.42266667,99.68066667,100,100,100,88.968,88.93146667,95.41046667,95.91033333,95.56803333,97.00786667,97.2741,97.93153333
23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09996667,95.60606667,99.43933333,99.59466667,99.60533333,99.85533333,99.89133333
